Handle,Vendor,Title,Body (HTML),Vendor.1,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status,Marcas usadas,Modelos usados,Cilindrajes usados,Detalles por tag
eje-pasador-de-gato-cd100-bolsa-x-5-crown,500011510-1,"EJE PASADOR DE GATO CD100 (BOLSA X 5) ""CROWN""",,500011510-1,,Producto,"andina, casa800, Eje, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1464.0,0.0,shopify,0.0,deny,manual,14826.0,,True,True,500011510-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Andina, Eje, Productos, Repuestos","EJE, NO",,"Andina, Eje, EJE, Productos, NO, Repuestos"
eje-abrebandas-trasero-boxer-bolsa-x-5-crown,500011473-1,"EJE ABREBANDAS TRASERO BOXER (BOLSA X 5) ""CROWN""",,500011473-1,,Producto,"andina, casa800, Eje, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1463.0,0.0,shopify,0.0,deny,manual,14959.0,,True,True,500011473-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Andina, Eje, Productos, Repuestos","EJE, NO",,"Andina, Eje, EJE, Productos, NO, Repuestos"
eje-abrebandas-delantero-boxer-bolsa-x-5-crown,500011472-1,"EJE ABREBANDAS DELANTERO BOXER (BOLSA X 5) ""CROWN""",,500011472-1,,Producto,"andina, casa800, Eje, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1462.0,0.0,shopify,0.0,deny,manual,15012.0,,True,True,500011472-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Andina, Eje, Productos, Repuestos","EJE, NO",,"Andina, Eje, EJE, Productos, NO, Repuestos"
dados-del-automatico-gy6-125-bolsa-x-5-crown,100011452-1,"DADOS DEL AUTOMATICO GY6-125 (BOLSA X 5) ""CROWN""",,100011452-1,,Producto,"casa100, Dados, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1461.0,0.0,shopify,0.0,deny,manual,27583.0,,True,True,100011452-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Dados, Productos, Repuestos",NO,,"Dados, Productos, NO, Repuestos"
cuchara-de-cambios-ak-125-bolsa-x-5-crown,800011305-1,"CUCHARA DE CAMBIOS AK-125 (BOLSA X 5) ""CROWN""",,800011305-1,,Producto,"casa100, Cuchara, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1460.0,0.0,shopify,0.0,deny,manual,14959.0,,True,True,800011305-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Cuchara, Productos, Repuestos",NO,,"Cuchara, Productos, NO, Repuestos"
capuchon-bujia-ax-4-bolsa-x-5-crown,800010898-1,"CAPUCHON BUJIA AX-4 (BOLSA X 5) ""CROWN""",,800010898-1,,Producto,"Capuchón, casa100, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1459.0,0.0,shopify,0.0,deny,manual,10609.0,,True,True,800010898-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
capuchon-bujia-derecho-pulsar-135-ls-bolsa-x-5-crown,500010898-1,"CAPUCHON BUJIA DERECHO PULSAR 135 LS (BOLSA X 5) ""CROWN""",,500010898-1,,Producto,"Capuchón, casa100, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1458.0,0.0,shopify,0.0,deny,manual,12704.0,,True,True,500010898-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
capuchon-bujia-cd100-eco100-bolsa-x-10-crown,100010873-1,"CAPUCHON BUJIA CD100/ECO100 (BOLSA X 10) ""CROWN""",,100010873-1,,Producto,"Capuchón, casa100, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1457.0,0.0,shopify,0.0,deny,manual,13367.0,,True,True,100010873-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
capuchon-bujia-universal-p-bolsa-x-10-crown,100010871-1,"CAPUCHON BUJIA UNIVERSAL P (BOLSA X 10) ""CROWN""",,100010871-1,,Producto,"andina, Capuchón, casa100, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1456.0,0.0,shopify,0.0,deny,manual,13261.0,,True,True,100010871-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Andina, Productos, Repuestos",NO,,"Andina, Productos, NO, Repuestos"
canastilla-de-clutch-c-arandelas-ax-100-bolsa-x-5-crown,800010890-1,"CANASTILLA DE CLUTCH C/ARANDELAS AX-100 (BOLSA X 5) ""CROWN""",,800010890-1,,Producto,"Canastilla, casa100, Clutch, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1455.0,0.0,shopify,0.0,deny,manual,16179.0,,True,True,800010890-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Canastilla, Clutch, Productos, Repuestos",NO,,"Canastilla, Clutch, Productos, NO, Repuestos"
canastilla-de-piston-ax-100-bolsa-x-5-crown,100010868-1,"CANASTILLA DE PISTON AX-100 (BOLSA X 5) ""CROWN""",,100010868-1,,Producto,"Canastilla, casa100, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1454.0,0.0,shopify,0.0,deny,manual,10344.0,,True,True,100010868-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Canastilla, Productos, Repuestos",NO,,"Canastilla, Productos, NO, Repuestos"
