Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
comando-derecho-ax-4-crown,"COMANDO DERECHO AX-4 ""CROWN""",,100011096,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,142,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100011096,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-primario-completo-akt-125-flex-crown,"CLUTCH PRIMARIO COMPLETO AKT-125 FLEX ""CROWN""",,100011092,,Producto,"andina, casa100, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,141,0.0,shopify,0,deny,manual,26334.00,,TRUE,TRUE,100011092,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-primario-completo-crypton-110-crown,"CLUTCH PRIMARIO COMPLETO CRYPTON-110 ""CROWN""",,100011091,,Producto,"andina, casa100, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,140,0.0,shopify,0,deny,manual,26729.00,,TRUE,TRUE,100011091,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-primario-completo-vivax-115-crown,"CLUTCH PRIMARIO COMPLETO VIVAX-115 ""CROWN""",,100011090,,Producto,"andina, casa100, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,139,0.0,shopify,0,deny,manual,40400.00,,TRUE,TRUE,100011090,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-primario-completo-viva-115-crown,"CLUTCH PRIMARIO COMPLETO VIVA-115 ""CROWN""",,100011089,,Producto,"andina, casa100, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,138,0.0,shopify,0,deny,manual,40950.00,,TRUE,TRUE,100011089,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-primario-completo-akt-110-crown,"CLUTCH PRIMARIO COMPLETO AKT-110 ""CROWN""",,100011088,,Producto,"andina, casa100, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,137,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100011088,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-primario-completo-wave-100-crown,"CLUTCH PRIMARIO COMPLETO WAVE-100 ""CROWN""",,100011087,,Producto,"andina, casa100, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,136,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100011087,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-de-una-via-cbf-150-crown,"CLUTCH DE UNA VIA CBF-150 ""CROWN""",,100011085,,Producto,"andina, casa800, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,135,0.0,shopify,0,deny,manual,34292.00,,TRUE,TRUE,100011085,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-de-una-via-akt-200-crown,"CLUTCH DE UNA VIA AKT-200 ""CROWN""",,100011084,,Producto,"andina, casa800, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,134,0.0,shopify,0,deny,manual,26950.00,,TRUE,TRUE,100011084,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-de-una-via-cb-110-crown,"CLUTCH DE UNA VIA CB-110 ""CROWN""",,100011083,,Producto,"andina, casa100, Clutch, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,133,0.0,shopify,0,deny,manual,33875.00,,TRUE,TRUE,100011083,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
ciguenal-cd-100-crown,"CIGÜEÑAL CD-100 ""CROWN""",,100011050,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,132,0.0,shopify,0,deny,manual,71637.00,,TRUE,TRUE,100011050,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
choke-electrico-agility-125-crown,"CHOKE ELECTRICO AGILITY-125 ""CROWN""",,100011020,,Producto,"andina, casa800, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,131,0.0,shopify,0,deny,manual,15950.00,,TRUE,TRUE,100011020,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-tvs-100-sport-crown,"CENTRO Y PLATO EMBRAGUE TVS-100 SPORT ""CROWN""",,100010999,,Producto,"andina, casa100, Centro y Plato, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,130,0.0,shopify,0,deny,manual,16124.00,,TRUE,TRUE,100010999,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-rx-115-crown,"CENTRO Y PLATO EMBRAGUE RX-115 ""CROWN""",,100010998,,Producto,"andina, casa100, Centro y Plato, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,129,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100010998,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-dt-125k-crown,"CENTRO Y PLATO EMBRAGUE DT-125K ""CROWN""",,100010997,,Producto,"andina, casa100, Centro y Plato, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,128,0.0,shopify,0,deny,manual,25160.00,,TRUE,TRUE,100010997,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-ax-4-crown,"CENTRO Y PLATO EMBRAGUE AX-4 ""CROWN""",,100010995,,Producto,"andina, casa100, Centro y Plato, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,127,0.0,shopify,0,deny,manual,17196.00,,TRUE,TRUE,100010995,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-pulsar-200ns-crown,"CENTRO Y PLATO EMBRAGUE PULSAR-200NS ""CROWN""",,100010989,,Producto,"andina, casa800, Centro y Plato, productos no fabricados, repuestos",TRUE,Title,Default Title,,,,,,,,126,0.0,shopify,117,deny,manual,30500.00,,TRUE,TRUE,100010989,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
centro-y-plato-embrague-pulsar-135s-crown,"CENTRO Y PLATO EMBRAGUE PULSAR-135S ""CROWN""",,100010988,,Producto,"andina, casa100, Centro y Plato, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,125,0.0,shopify,0,deny,manual,17669.00,,TRUE,TRUE,100010988,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-akt-125-flex-crown,"CENTRO Y PLATO EMBRAGUE AKT-125 FLEX ""CROWN""",,100010987,,Producto,"andina, casa100, Centro y Plato, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,124,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100010987,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-boxer-ct-crown,"CENTRO Y PLATO EMBRAGUE BOXER CT ""CROWN""",,100010986,,Producto,"andina, casa100, Centro y Plato, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,123,0.0,shopify,0,deny,manual,10685.00,,TRUE,TRUE,100010986,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-gs-125-crown,"CENTRO Y PLATO EMBRAGUE GS-125 ""CROWN""",,100010985,,Producto,"andina, casa100, Centro y Plato, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,122,0.0,shopify,0,deny,manual,18342.00,,TRUE,TRUE,100010985,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
