Handle,Title,Body (HTML),Vendor,ORDEN,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
clutch-de-una-via-best-125-crown,"CLUTCH DE UNA VIA ""CROWN"" BEST-125",,800011109,#N/A,,Producto,"Andina, Clutch, Productos, Repuestos",TRUE,Title,Default Title,,,,,,,,2387.0,0.0,shopify,0,deny,manual,35700.00,,TRUE,TRUE,800011109,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800011109.1.jpg?v=1752167075,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
clutch-de-una-via-best-125-crown,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800011109.2_d46898d3-a554-4cc8-84cf-0578f911fc77.jpg?v=1752167075,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clutch-de-una-via-pulsar-200ns-crown,"CLUTCH DE UNA VIA X 2 PCS ""CROWN"" PULSAR-200NS",,800011117,359,,Producto,"Andina, Clutch, Productos, Pulsar, Repuestos",TRUE,Title,Default Title,,,,,,,,2386.0,0.0,shopify,102,deny,manual,52500.00,,TRUE,TRUE,800011117,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800011117.1.jpg?v=1752167076,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
clutch-de-una-via-pulsar-200ns-crown,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800011117.2_ad89c356-9c02-4fd7-addb-e6d8106a6f76.jpg?v=1752167076,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-ring-culatin-cb-110-crown,"O-RING CULATIN CB-110 ""CROWN""",,800012288,#N/A,,Producto,"Andina, O, O-Ring, Productos, Repuestos, Ring",FALSE,Title,Default Title,,,,,,,,2385.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800012288,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
o-ring-culatin-pulsar-200ns-crown,"O-RING CULATIN PULSAR-200NS ""CROWN""",,800012285,#N/A,,Producto,"Andina, O, O-Ring, Productos, Repuestos, Ring",FALSE,Title,Default Title,,,,,,,,2384.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800012285,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
pedal-arranque-bws-125-crown,"PEDAL ARRANQUE ""CROWN"" BWS-125",,800012327,19,,Producto,"125, Andina, Bws, Pedal, Pedales, Productos, Repuestos",TRUE,Title,Default Title,,,,,,,,2383.0,0.0,shopify,5,deny,manual,15800.00,,TRUE,TRUE,800012327,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800012327_94b3e4ac-d079-4c9a-bb9f-3a2df8acb199.jpg?v=1752167078,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
pedal-arranque-crypton-115-crown,"PEDAL ARRANQUE CRYPTON-115 ""CROWN""",,800012329,#N/A,,Producto,"Andina, Pedal, Pedales, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2382.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800012329,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
pedal-arranque-pulsar-180-ii-crown,"PEDAL ARRANQUE PULSAR 180 II ""CROWN""",,800012315,#N/A,,Producto,"Andina, Pedal, Pedales, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2381.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800012315,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
balancin-admision-escape-pulsar-180-ii-crown,"BALANCIN ADMISION ESCAPE PULSAR-180 II ""CROWN""",,800010201,#N/A,,Producto,"Andina, Balancines, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2380.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010201,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
balancin-admision-escape-discover-125st-crown,"BALANCIN ADMISION ESCAPE DISCOVER-125ST ""CROWN""",,800010196,#N/A,,Producto,"Andina, Balancines, Disco, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2379.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010196,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
balancin-admision-escape-discover-100m-crown,"BALANCIN ADMISION ESCAPE DISCOVER-100M ""CROWN""",,800010195,#N/A,,Producto,"Andina, Balancines, Disco, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2378.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800010195,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
kit-cilindro-pulsar-200ns-crown,"KIT CILINDRO (COLOR NEGRO) ""CROWN"" PULSAR-200NS",,801000112,545,,Producto,"Andina, Cilindro, Kit, Kit Cilindros, Productos, Pulsar, Repuestos",TRUE,Title,Default Title,,,,,,,,2377.0,0.0,shopify,47,deny,manual,125400.00,,TRUE,TRUE,801000112,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/801000112.1.jpg?v=1752167081,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
kit-cilindro-pulsar-200ns-crown,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/801000112.2_5214e643-4632-4eb8-b5d1-a8145b5f8c97.jpg?v=1752167081,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elemento-filtro-aire-pulsar-135-ls-crown,"ELEMENTO FILTRO AIRE PULSAR-135 LS ""CROWN""",,800011638,#N/A,,Producto,"Andina, Filtro, Filtros, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2376.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011638,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
clutch-de-una-via-wave-110-crown,"CLUTCH DE UNA VIA WAVE-110 ""CROWN""",,800011093,#N/A,,Producto,"Andina, Clutch, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2375.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011093,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
o-ring-culatin-wave-110-crown,"O-RING CULATIN WAVE-110 ""CROWN""",,800012284,#N/A,,Producto,"Andina, O, O-Ring, Productos, Repuestos, Ring",FALSE,Title,Default Title,,,,,,,,2374.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800012284,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
medidor-combustible-pulsar-135-ls-crown,"MEDIDOR COMBUSTIBLE PULSAR 135 LS ""CROWN""",,800012247,#N/A,,Producto,"Andina, Medidor de Combustible, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2372.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800012247,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
kit-diafragma-carburador-libero-125-crown,"KIT DIAFRAGMA CARBURADOR LIBERO-125 ""CROWN""",,800011415,#N/A,,Producto,"Andina, Carburadores, Diafragma, Kit, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2371.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011415,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
motor-arranque-pulsar-200ns-crown,"MOTOR ARRANQUE ""CROWN"" PULSAR 200NS",,800012267,806,,Producto,"Andina, Motor, Motor de Arranque, Productos, Pulsar, Repuestos",TRUE,Title,Default Title,,,,,,,,2370.0,0.0,shopify,17,deny,manual,68800.00,,TRUE,TRUE,800012267,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800012267_7b19b1c0-3f64-4a63-9e8a-c0bf3b9ed87c.jpg?v=1752167084,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
