Handle,Title,Body (HTML),Vendor,ORDEN,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
tensor-hidraulico-negro-pulsar-135-ls-crown,89.0.800013082 TENSOR HIDRAULICO PULSAR-135LS,,800013082,1012.0,,Producto,"Andina, Productos, Pulsar, Repuestos, Tensor, Tensor Hidráulico",True,Title,Default Title,,,,,,,,1190.0,0.0,shopify,642.0,deny,manual,9770.0,,True,True,800013082,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013082_16bcc857-8558-40af-bbd6-9115267d9f18.jpg?v=1752167888,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
tensor-hidraulico-discover-135-crown-1,"89.0.800013081 TENSOR HIDRAULICO ""CROWN"" DISCOVER-135",,800013081,1011.0,,Producto,"135, Andina, Disco, Discover, Productos, Repuestos, Tensor, Tensor Hidráulico",True,Title,Default Title,,,,,,,,1189.0,0.0,shopify,75.0,deny,manual,9195.0,,True,True,800013081,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013081.1.jpg?v=1752167889,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
tensor-hidraulico-discover-135-crown-1,nan.nan nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013081.jpg?v=1752167889,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensor-hidraulico-pulsar-dts-i-crown,"89.0.800013080 TENSOR HIDRAULICO ""CROWN"" PULSAR DTSi/UG/BLACK TEC",,800013080,1010.0,,Producto,"02, 07, 180, Andina, Black, DTSI, II, Productos, Pulsar, Repuestos, TEC, Tensor, Tensor Hidráulico, UG",True,Title,Default Title,,,,,,,,1188.0,0.0,shopify,18.0,deny,manual,9800.0,,True,True,800013080,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013080.1.jpg?v=1752167890,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
tensor-hidraulico-pulsar-dts-i-crown,nan.nan nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013080.jpg?v=1752167890,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensor-hidraulico-cbf-150-cbf-125-crown,"89.0.800013079 TENSOR HIDRAULICO ""CROWN"" CBF-150/XR-150L/INVICTA/MRX-150/T",,800013079,,,Producto,"Andina, Productos, Repuestos, Tensor, Tensor Hidráulico",True,Title,Default Title,,,,,,,,1187.0,0.0,shopify,0.0,deny,manual,8900.0,,True,True,800013079,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013079.1.jpg?v=1752167890,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
tensor-hidraulico-cbf-150-cbf-125-crown,nan.nan nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013079.jpg?v=1752167890,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensor-hidraulico-libero-110-libero-125-ybr125-crown,"89.0.800013078 TENSOR HIDRAULICO ""CROWN"" LIBERO-110",,800013078,,,Producto,"Andina, Productos, Repuestos, Tensor, Tensor Hidráulico",True,Title,Default Title,,,,,,,,1186.0,0.0,shopify,0.0,deny,manual,9800.0,,True,True,800013078,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013078.1.jpg?v=1752167891,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
tensor-hidraulico-libero-110-libero-125-ybr125-crown,nan.nan nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013078.jpg?v=1752167891,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensor-hidraulico-cbz-160-crown,"89.0.800013077 TENSOR HIDRAULICO ""CROWN"" CBZ-160/STORM/CB125E/XL-200/XR-2",,800013077,1009.0,,Producto,"125, 160, 200, Andina, Cbz, Ciclon, Productos, Repuestos, Storm, Tensor, Tensor Hidráulico, XL, XR",True,Title,Default Title,,,,,,,,1185.0,0.0,shopify,29.0,deny,manual,7100.0,,True,True,800013077,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013077.1.jpg?v=1752167892,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
